,sQuestion,lSolutions,Template,lEquations,iIndex,Alignment,Equiv
789,The sum of 2 two-digit numbers is 89 and their difference is 19 . What are the two numbers ?,"[35.0, 54.0]","['m + n = a', 'm - n = b']","['plane+tail_wind=89', 'plane-tail_wind=19']",767344,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 89.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 19.0, 'TokenId': 12}]",[]
790,"Two runners start from the same point at the same time . They will be 4 miles apart at the end of two hours if running in the same direction , and they will be 16 miles apart at the end of one hour if running in opposite directions . Find their speeds .","[9.0, 7.0]","['a * m - a * n = b', 'n + m = c']","['2(x-y)=4', 'x+y=16']",272228,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 3}, {'coeff': 'c', 'SentenceId': 1, 'Value': 16.0, 'TokenId': 23}]",[]
791,Albert is 15 years old and his dad is 48 . How many years ago was his dad 4 times as old as Albert was then ?,[4.0],['-1 * a * m + m = b - a * c'],['48-x=4*(15-x)'],951415,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 48.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 0, 'Value': 15.0, 'TokenId': 2}]",[]
792,The denominator of a fraction exceeds twice the numerator by 10 . The value of the fraction is 5 to 12 . Find the fraction .,"[25.0, 60.0]","['a * m - b * n = 0', 'm - c * n = d']","['12*x = 5*y', 'y = 2*x + 10']",391073,"[{'coeff': 'c', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'd', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 10}, {'coeff': 'a', 'SentenceId': 1, 'Value': 5, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 12, 'TokenId': 8}]",[]
793,The larger of two numbers is four less than twice the smaller . Their sum is twenty-three . Find the larger number .,"[14.0, 9.0]","['a * m - n = b', 'm + n = c']","['smaller+larger=23', '2*smaller-larger=4']",310397,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 6}, {'coeff': 'c', 'SentenceId': 1, 'Value': 23.0, 'TokenId': 3}]",[]
794,The sum of two brothers is 46 . The younger brother is 10 more than a third of the older brothers age . How old is the younger brother ?,"[27.000000675, 18.999999325]","['m - a * n = b', 'm + n = c']","['y=0.3333333*x+10', 'x+y=46']",850598,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 0.33333334326744, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 46.0, 'TokenId': 6}]",[]
795,"An investment at 8 % and some at 9 % annual simple interest . The interest for 1 year on the combined investment of $ 10,000 was $ 840 . How much was invested at each rate ?","[6000.0, 4000.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['( 0.01 * 8 ) *x + ( 0.01 * 9 ) *y = 840', 'x+y=10000']",839243,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 0, 'Value': 9.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 1, 'Value': 840.0, 'TokenId': 14}, {'coeff': 'd', 'SentenceId': 1, 'Value': 10000.0, 'TokenId': 11}]",[]
796,The sum of bob 's age and carol 's age is 66 . Carol 's age is 2 more than 3 times bob 's age . How old are Carol and bob ?,"[50.0, 16.0]","['m - a * n = b', 'm + n = c']","['66-x=y', 'x=3*y+2']",389616,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 66.0, 'TokenId': 11}]",[]
797,"In 3 years , alex will be 3 times as old as his sister Precy . A year ago , Alex was 7 times as old as Precy . How old are they now ?","[15.0, 3.0]","['m - a * n = -1 * a * b + b', 'm - c * n = c * d - d']","['x + 3 = 3 *( y + 3 )', 'x - 1 = 7 *( y - 1 )']",51889,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 0}, {'coeff': 'c', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 1}, {'coeff': 'd', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 7}]",[]
798,"two investments in companies total $ 2000 . If one investment earns 3 % annually and the other earns 2 % annually . Find the amount invested in each , if the total interest earned in $ 54 .","[1400.0, 600.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['(0.01*3)*x+(0.01*2)*y=54', 'y=(2000-x)']",316179,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 3.0, 'TokenId': 4}, {'coeff': 'b', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 2, 'Value': 54.0, 'TokenId': 14}, {'coeff': 'd', 'SentenceId': 0, 'Value': 2000.0, 'TokenId': 6}]",[]
799,How old am i if i am 4 times my daughters age today and 7 years earlier i was 11 times her age ?,"[10.0, 40.0]","['m - a * n = -1 * a * b + b', 'm - c * n = 0']","['y-7=11*(x-7)', 'y=4*x']",624461,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 11.0, 'TokenId': 19}, {'coeff': 'b', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 7}]",[]
800,A father is twice as old as his son . 12 years ago the father was 4 times as old as the son was then - determine the present age .,"[18.0, 36.0]","['m - a * n = -1 * a * b + b', 'm - c * n = 0']","['y = 2*x', 'y - 12 = 4 *( x - 12 )']",767604,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 12.0, 'TokenId': 0}, {'coeff': 'c', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 3}]",[]
801,Jim can fill a pool carrying buckets of water in 30 minutes . Sue can do the same job in 45 minutes . Tony can do the same job in 90 minutes . How quickly can all three fill the pool together ?,[15.0],['1 / a * m + 1 / b * m + 1 / c * m = 1'],['( 1 / 30 + 1 / 45 + 1 / 90 ) *x = 1'],499575,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 10}, {'coeff': 'b', 'SentenceId': 1, 'Value': 45.0, 'TokenId': 7}, {'coeff': 'c', 'SentenceId': 2, 'Value': 90.0, 'TokenId': 7}]",[]
802,The sum of two positive integers is 80 . Find the integers if one number is 8 greater than the other .,"[36.0, 44.0]","['m + n = a', 'm - n = b']","['y=x+8', 'x+y=80']",364571,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 80.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 8.0, 'TokenId': 7}]",[]
803,A man Bought cashew nuts worth P 210 / kilo and peanut at P 130 / kilo . How many kilos or cashew nuts and peanuts where in it become 5 kilos worth P 178 per kilo ?,"[3.0, 2.0]","['a * m + b * n = c * d', 'm + n = c']","['210*x + 130*y = 178 *( 5 )', 'y=(5-x)']",658510,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 210.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 130.0, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 12}, {'coeff': 'd', 'SentenceId': 1, 'Value': 178.0, 'TokenId': 16}]",[]
804,A grocer wants to mix two kinds of coffee . One kind sells for $ 2.15 per pound and the other sells for 2.45 per pound . He wants to mix a total of 18 pounds and sell it for $ 2.30 per pound . How many pounds of each kind should he use in the new mix ?,"[9.0, 9.0]","['a * m + b * n = c * d', 'm + n = c']","['x+y=18', '2.15*x+2.45*y=18*2.30']",915878,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.15, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 1, 'Value': 2.45, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 2, 'Value': 18.0, 'TokenId': 7}, {'coeff': 'd', 'SentenceId': 2, 'Value': 2.3, 'TokenId': 14}]",[]
805,"It take you 2 min to wash a window , and takes your friend 3 minutes to wash a window . How long does it take the two of you to wash 25 windows if you work together ?",[30.0],['1 / a * m + 1 / b * m = c'],['( 1 / 2 + 1 / 3 ) *x = 25'],569591,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 14}, {'coeff': 'c', 'SentenceId': 1, 'Value': 25.0, 'TokenId': 11}]",[]
806,A book cost $ 15 if bought online and $ 22.50 if bought at the store . The bookstore sold 250 books and took in $ 4995 . How many books were bought online and how many were bought in the store ?,"[84.0, 166.0]","['a * m + b * n = c', 'm + n = d']","['x+y=250', '15*x + 22.50*y = 4995']",385312,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 15.0, 'TokenId': 4}, {'coeff': 'b', 'SentenceId': 0, 'Value': 22.5, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 1, 'Value': 4995.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 1, 'Value': 250.0, 'TokenId': 3}]",[]
807,"Lorna is twice as older as peter . if their ages add up to 9 years old , how old is peter","[3.0, 6.0]","['m + n = a', 'n - b * m = 0']","['y=2*x', 'y+x=9']",948538,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 2}]",[]
808,"A chef is using a mixture of two brands of Italian dressing . The first brand contains 8 % vinegar , and the second brand contains 13 % vinegar . The chef wants to make 320 milliliters of a dressing that is 11 % vinegar . How much of each brand should she use ?","[128.0, 192.0]","['a * m + b * n = c * d', 'm + n = c']","['0.01*8*x+0.01*13*y=320*0.01*11', 'x+y=320']",242296,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 8.0, 'TokenId': 4}, {'coeff': 'b', 'SentenceId': 1, 'Value': 13.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 2, 'Value': 320.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 2, 'Value': 11.0, 'TokenId': 12}]",[]
809,you have 35 nickels and dimes . their total value is $ 2.85 . write the system of equations to find the number n of nickels and the number of d dimes .,"[13.0, 22.0]","['a * m + b * n = c', 'm + n = d']","['0.05*nickels+0.1*dimes=2.85', 'nickels+dimes=35']",838508,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 0.050000000745058004, 'TokenId': 3}, {'coeff': 'b', 'SentenceId': 0, 'Value': 0.10000000149011601, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 1, 'Value': 2.85, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 0, 'Value': 35.0, 'TokenId': 2}]","[[[2, 17, 0.1], [0, 5, 0.1]], [[0, 3, 0.05], [2, 11, 0.05]]]"
810,"My horse and saddle are worth $ 100.00 , and my horse is worth 7 times as much as my saddle . What is the value of each ?","[12.5, 87.5]","['m + n = a', 'n - b * m = 0']","['y+x=100', 'y = 7*x']",1299,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 100.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 14}]",[]
811,The greater of the two consecutive even numbers is 6 less than twice the smaller .,"[8.0, 10.0]","['a * m - n = b', 'n - m = c']","['y=x+2', 'y = 2*x - 6']",389184,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 12}, {'coeff': 'b', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}]",[]
812,The smaller of two numbers is 3 less that the larger . Twice the larger plus 4 times the smaller is 36 . Find the numbers,"[5.0, 8.0]","['a * m + b * n = c', 'm - n = d']","['x=y-3', '2*y + 4*x = 36']",167571,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 0}, {'coeff': 'b', 'SentenceId': 1, 'Value': 4.0, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 1, 'Value': 36.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 6}]",[]
813,A store is selling CD 's for $ 10.50 and for $ 8.50 . You buy 10 total and spend $ 93.00 . How many of each price did you buy ?,"[6.0, 4.0]","['a * m + b * n = c', 'm + n = d']","['student+general=10', '10.5*student+8.5*general=93']",63761,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 10.5, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 0, 'Value': 8.5, 'TokenId': 12}, {'coeff': 'c', 'SentenceId': 1, 'Value': 93.0, 'TokenId': 7}, {'coeff': 'd', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 2}]",[]
814,Two numbers are in the ratio 3 to 7 . Two-fifths of their sum is 32 .,"[24.0, 56.0]","['a * m + a * n = b', 'c * n - d * m = 0']","['3*y = 7*x', '0.4 *( x + y ) = 32']",264997,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 0.40000000596046403, 'TokenId': 0}, {'coeff': 'b', 'SentenceId': 1, 'Value': 32.0, 'TokenId': 5}, {'coeff': 'c', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 6}, {'coeff': 'd', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 8}]",[]
815,Julie is 4 times older than Aaron . In 10 years Julie will be twice as old as Aaron . How old are Julie and Aaron ?,"[5.0, 20.0]","['m - a * n = a * b - b', 'm - c * n = 0']","['y + 10 = 2 *( x + 10 )', 'y = 4*x']",154972,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 1}, {'coeff': 'c', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 2}]",[]
816,"Annual concert . A total of 150 tickets were sold for the annual concert to students and non-students . Student tickets were $ 5 and non-student tickets were $ 8 . If the total revenue for the concert was $ 930 , then how many tickets of each type were sold ?","[90.0, 60.0]","['a * m + b * n = c', 'm + n = d']","['930 = 5*x + 8*y', 'y=(150-x)']",167815,"[{'coeff': 'a', 'SentenceId': 2, 'Value': 5.0, 'TokenId': 4}, {'coeff': 'b', 'SentenceId': 2, 'Value': 8.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 3, 'Value': 930.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 1, 'Value': 150.0, 'TokenId': 3}]",[]
817,A chemist mixed a 20 % alcohol solution with a 12 % alcohol solution to obtain 200 mL of a 15 % alcohol solution . How many mL of the 20 % solution did he use ?,"[75.0, 125.0]","['a * m + b * n = c * d', 'm + n = c']","['x+y=200', '0.01*20*x+0.01*12*y=0.01*15*(200)']",548035,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 20.0, 'TokenId': 4}, {'coeff': 'b', 'SentenceId': 0, 'Value': 12.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 0, 'Value': 200.0, 'TokenId': 16}, {'coeff': 'd', 'SentenceId': 0, 'Value': 15.0, 'TokenId': 20}]","[[[0, 4, 20.0], [1, 5, 20.0]]]"
818,The sum of two numbers is twice their difference . The larger number is 7 more than twice the smaller . Find the numbers .,"[7.0, 21.0]","['m + n - a * n + a * m = 0', 'n - b * m = c']","['x+y=2*(y-x)', 'y=(2*x+7)']",357498,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 7}, {'coeff': 'c', 'SentenceId': 1, 'Value': 7.0, 'TokenId': 4}]",[]
819,it takes 2 hours for jay to paint a wall and 3 hours for his brother bong . how long will it take for the two of them working together ?,[1.2],['1 / a * m + 1 / b * m = 1'],['( 1 / 2 ) *x + ( 1 / 3 ) *x = 1'],789308,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 0, 'Value': 3.0, 'TokenId': 11}]",[]
820,find 2 numbers whose sum is 100 and whose difference is 14 .,"[43.0, 57.0]","['m + n = a', 'm - n = b']","['plane+tail_wind=100', 'plane-tail_wind=14']",787643,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 100.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 14.0, 'TokenId': 11}]",[]
821,"Deborah splits $ 20,000 between Bryce Bond Fund with an annual yield of 8 % and Strauss Stock Fund with an annual yield of 12 % . If her total income for one year on the two investments was $ 1,836.88 , then how much did she invest in each fund ? Please Help ?","[14078.0, 5922.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['0.01*12*six_percent+0.01*8*nine_percent=1836.88', 'six_percent+nine_percent=20000']",314449,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 12.0, 'TokenId': 24}, {'coeff': 'b', 'SentenceId': 0, 'Value': 8.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 1, 'Value': 1836.88, 'TokenId': 13}, {'coeff': 'd', 'SentenceId': 0, 'Value': 20000.0, 'TokenId': 3}]",[]
822,deanna is five more than six times than ted . Twine the sum of their ages is 94 . How old is ted ?,"[41.0, 6.0]","['m - a * n = b', '2 * m + 2 * n = c']","['x = 6*y + 5', '2*x + 2*y = 94']",104379,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 2}, {'coeff': 'c', 'SentenceId': 1, 'Value': 94.0, 'TokenId': 7}]",[]
823,"When asked how old he is , a boy replied : '' I am twice older than I was 5 years ago . '' How old is he now ?",[10.0],['a * m - m = a * b'],['x=2*(x-5)'],175952,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 14}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 19}]",[]
824,A store mixes coffee A worth $ 10 . per kilogram and coffee B worth $ 12 . per kilogram . The mixture is to sell for $ 11 . per kilogram . Find how much should be used to make a 480 kilogram mixture . How many kilograms of coffee A should be in the mix ? How many kilograms of coffee B should be in the mix ?,"[240.0, 240.0]","['a * m + b * n = c * d', 'm + n = c']","['10*x+12*y=11*480', 'y=(480-x)']",333323,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 10.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 12.0, 'TokenId': 7}, {'coeff': 'c', 'SentenceId': 5, 'Value': 480.0, 'TokenId': 9}, {'coeff': 'd', 'SentenceId': 3, 'Value': 11.0, 'TokenId': 7}]",[]
825,The difference between two numbers is 4 less than their sum . One number is 1 less than the other number . What are the two numbers ?,"[3.0, 2.0]","['m + m= a', 'n - m = b']","['y=x-1', 'x+y-4=x-y']",415936,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 4.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 3}]",[]
826,"the sum of two integers is 1 . if the smaller integer is 11 less than 5 times the larger , what are the integers ?","[2.0, -1.0]","['a * m - n = b', 'm + n = c']","['smaller+larger=1', 'smaller+11=5*larger']",231083,"[{'coeff': 'b', 'SentenceId': 1, 'Value': 11.0, 'TokenId': 5}, {'coeff': 'a', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 0, 'Value': 1.0, 'TokenId': 6}]",[]
827,How long will it take Jose and Alex together to paint a car which can be done by Jose Alone in 7 days and Alex alone in 5 days ?,[2.91666666667],['1 / a * m + 1 / b * m = 1'],['x*(1/7+1/5)=1'],502380,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 7.0, 'TokenId': 21}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 27}]",[]
828,"the board of directors of a coporation grant a bonus of $ 5,000 to divided between two employees . the senior employee receives $ 1200 more then the junior employee . how much does each employee receive ?","[1900.0, 3100.0]","['m + n = a', 'm - n = b']","['x+y=5000', 'y=x+1200']",3131,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 5000.0, 'TokenId': 12}, {'coeff': 'b', 'SentenceId': 1, 'Value': 1200.0, 'TokenId': 5}]",[]
829,"A dehydrated patient needs a 3.24 % saline IV . Unfortunately , the hospital only has bags of 1 % and 9 % saline solutions . How many liters of each of these solutions should be mixed together to yield 5 liters of the desired concentration ? Please show all your work .","[3.6, 1.4]","['a * m + b * n = c * d', 'm + n = c']","['x+y=5', '( 0.01 * 1 ) *x + ( 0.01 * 9 ) * y = ( 0.01 * 3.24 ) * 5']",466772,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 11}, {'coeff': 'c', 'SentenceId': 2, 'Value': 5.0, 'TokenId': 14}, {'coeff': 'd', 'SentenceId': 0, 'Value': 3.24, 'TokenId': 5}]",[]
830,Reggie is 5 years older than Lani . 5 years ago the sum of their ages was 25 . How old are they now ?,"[15.0, 20.0]","['m + n = a + b + b', 'n - m = c']","['x-5+y-5=25', 'y=x+5']",339801,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 25.0, 'TokenId': 9}, {'coeff': 'c', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 2}, {'coeff': 'b', 'SentenceId': 1, 'Value': 5.0, 'TokenId': 0}]",[]
831,you want to mix a 30 % solution with a 80 % solution to get 40 ounces of a 45 % solution . how much of each solution do you need ?,"[28.0, 12.0]","['a * m + b * n = c * d', 'm + n = c']","['x+y=40', '0.01*30*x+0.01*80*y=0.01*45*40']",364944,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 30.0, 'TokenId': 5}, {'coeff': 'b', 'SentenceId': 0, 'Value': 80.0, 'TokenId': 10}, {'coeff': 'c', 'SentenceId': 0, 'Value': 40.0, 'TokenId': 15}, {'coeff': 'd', 'SentenceId': 0, 'Value': 45.0, 'TokenId': 19}]",[]
832,"An old water pump can fill up a large trough in 600 sec , but a second , newer pump takes only 200 sec to fill the trough . How long would it take to fill the trough using both pumps at the same time ?",[150.0],['1 / a * m + 1 / b * m = 1'],['(1/600+1/200)*x=1'],215962,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 600.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 0, 'Value': 200.0, 'TokenId': 22}]",[]
833,"find two numbers whose difference is 200 , such that the larger number is 5 times the smaller .","[250.0, 50.0]","['m - n = a', 'm - b * n = 0']","['x-y=200', 'x = 5*y']",276559,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 200.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 14}]",[]
834,"the sum of two numbers is -3 . if the second number is subtracted from the first , the difference is 27 . find the numbers","[-15.0, 12.0]","['m + n = a', 'm - n = b']","['plane+tail_wind=-3', 'plane-tail_wind=27']",164775,"[{'coeff': 'a', 'SentenceId': 0, 'Value': -3.0, 'TokenId': 6}, {'coeff': 'b', 'SentenceId': 1, 'Value': 27.0, 'TokenId': 13}]",[]
835,"There are 2 numbers . One number is six greater than another . If the sum of the two numbers is 44 , what are the two numbers ?","[19.0, 25.0]","['m + n = a', 'm - n = b']","['smaller+larger=44', 'smaller-larger=6']",799190,"[{'coeff': 'a', 'SentenceId': 2, 'Value': 44.0, 'TokenId': 8}, {'coeff': 'b', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 3}]",[]
836,"The ratio between two positive number is 6 to 5 . if the difference between the two numbers is 8 , what are the two numbers ? Thanks !","[48.0, 40.0]","['a * m - b * n = 0', 'm - n = c']","['5*x = 6*y', 'x-y=8']",301832,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 5.0, 'TokenId': 9}, {'coeff': 'b', 'SentenceId': 0, 'Value': 6.0, 'TokenId': 7}, {'coeff': 'c', 'SentenceId': 1, 'Value': 8.0, 'TokenId': 8}]",[]
837,"The sum of the two digits of a number is 14 , the value of the number is 2 less than 11 times the tens digit , what is the number ?","[8.0, 6.0]","['a * m - 10 * m - n = b', 'm + n = c']","['x+y=14', '11*x-2=10*x+y']",765055,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 11.0, 'TokenId': 21}, {'coeff': 'b', 'SentenceId': 0, 'Value': 2.0, 'TokenId': 18}, {'coeff': 'c', 'SentenceId': 0, 'Value': 14.0, 'TokenId': 10}]",[]
838,Walt made an extra $ 9000 last year from a part-time job . He invested part of the money at 9 % and the rest at 8 % . He made a total of $ 770 in interest . How much was invested at 8 % ?,"[4000.0, 5000.0]","['0.01 * a * m + 0.01 * b * n = c', 'n + m = d']","['( 0.01 * 8 ) *x + ( 0.01 * 9 ) *y = 770', 'y=(9000-x)']",153326,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 9.0, 'TokenId': 7}, {'coeff': 'b', 'SentenceId': 1, 'Value': 8.0, 'TokenId': 13}, {'coeff': 'c', 'SentenceId': 2, 'Value': 770.0, 'TokenId': 6}, {'coeff': 'd', 'SentenceId': 0, 'Value': 9000.0, 'TokenId': 5}]","[[[3, 5, 8.0], [1, 13, 8.0]]]"
839,"when fritz drives to work his trip takes 48 minutes , but when he takes the train it takes 40 minutes . find the distance fritz travels to work if the train travels an average of 6 mph faster than his driving .",[24.0],['1 / a * m - 1 / b * m = c * 1 / 60'],['( 1 / 40 - 1 / 48 ) *x = 6 * ( 1 / 60 )'],354154,"[{'coeff': 'a', 'SentenceId': 0, 'Value': 40.0, 'TokenId': 19}, {'coeff': 'b', 'SentenceId': 0, 'Value': 48.0, 'TokenId': 8}, {'coeff': 'c', 'SentenceId': 1, 'Value': 6.0, 'TokenId': 14}]",[]
840,"A pharmacist is to prepare 15 milliliters of special eye drops for a glaucoma patient . The eye-drop solution must have a 2 % active ingredient , but the pharmacist only has 10 % solution and 1 % solution in stock . How much of each type of solution should be used to fill the prescription .","[13.3333333333, 1.6666666666699999]","['a * m + b * n = c * d', 'm + n = c']","['(0.01*1)*x+(0.01*10)*y=(0.01*2*15)', 'y=(15-x)']",30391,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 1.0, 'TokenId': 20}, {'coeff': 'b', 'SentenceId': 1, 'Value': 10.0, 'TokenId': 16}, {'coeff': 'c', 'SentenceId': 0, 'Value': 15.0, 'TokenId': 5}, {'coeff': 'd', 'SentenceId': 1, 'Value': 2.0, 'TokenId': 6}]",[]
841,"Suppose you invest $ 10,410 in equipment to manufacture a new board game . Each game costs $ 2.65 to manufacture and sells for $ 20 . How many games must you make and sell before your buisness breaks even ?",[600.0],['a * m - b * m = c'],['(20-2.65)*x=10410'],949062,"[{'coeff': 'a', 'SentenceId': 1, 'Value': 20.0, 'TokenId': 11}, {'coeff': 'b', 'SentenceId': 1, 'Value': 2.65, 'TokenId': 4}, {'coeff': 'c', 'SentenceId': 0, 'Value': 10410.0, 'TokenId': 4}]",[]
