,Question
738,Brenda's mother made cookies for x1. She prepared x2 cookies but had to throw away x3 cookies. If each of them had the same number of cookies how many did each of them have?
739,There were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now x3 orchids and x4 roses in the vase. how many more roses than orchids are there in the vase now?
740,He had a total of x1 saltwater animals in different aquariums. Each aquarium has x2 animals in it. how many aquariums did he have?
741,Every day Ryan spends x1 hours on learning english and x2 hours on learning chinese. If he learns for x3 days how many hours does he spend on learning english and chinese in all?
742,Rachel picked x1 apples from her tree. Thereafter x2 new apples grew on the tree. Now the tree has x3 apples still on it. how many apples did the tree have to begin with?
743,There were x1 people on the bus. At the next stop x2 more people got on the bus and x3 people got off. how many people are there on the bus now?
744,Dave had x1 apps and x2 files on his phone. After deleting some apps and files he had x3 apps and x4 files left. how many more apps than files does he have left on the phone?
745,Baker made x1 cakes. He bought x2 new cakes and sold x3 cakes. how many cakes does baker still have?
746,Mary is baking a cake. The recipe calls for x1 cups of sugar x2 cups of flour and x3 cups of salt. She already put in x4 cups of flour. how many more cups of sugar than cups of salt does she need to add now?
747,Ryan learns english and chinese for x1 days. Every day he spends x2 hours on learning english and x3 hours on learning chinese. how many hours does he spend on learning english and chinese in all?
748,Dan has $ x1. He bought a candy bar for $ x2 and a chocolate for $ x3. how much money is left?
749,During summer break x1 kids from Lawrence county stayed home and the rest went to camp. The total number of kids in Lawrence county is x2. about how many kids in lawrence county went to camp?
750,After Jessie started to go jogging everyday she lost x1 kilograms. She currently weighs x2 kilograms. how much did she weigh before starting to jog?
751,Josh had x1 marbles in his collection. He lost x2 marbles and found x3 new ones. how many more marbles did he find than those he lost?
752,Nell collects cards. She had x1 baseball cards and x2 Ace cards. She gave some of her cards to Jeff and now has x3 Ace cards and x4 baseball cards left. how many more ace cards than baseball cards does nell have?
753,In a school there are x1 boys and x2 girls. x3 more girls joined the school. how many more girls than boys does the school have?
754,Paul got a box of some crayons for his birthday. By the end of the school year he had either lost or given away x1 of them and only had x2 left. how many crayons did he get for his birthday?
755,Bryan took a look at his books as well. If he has a total of x1 books and each bookshelf contains x2 books how many bookshelves does he have?
756,Julia played tag with x1 kids on monday. If she played tag with x2 more kids on monday than on tuesday how many kids did she play with on tuesday?
757,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of unripe oranges and x2 sacks of ripe oranges per day. how many more sacks of ripe oranges than unripe oranges are harvested per day?
758,Allan brought x1 balloons. If Allan and Jake brought total of x2 balloons to the park how many balloons did jake bring to the park?
759,The ring toss game at the carnival made x1 dollars per day. They were at the carnival for x2 days. how much money did they make?
760,Each basket of peaches has x1 red peaches and x2 green peaches. If there are x3 such baskets how many peaches are in the baskets altogether?
761,Paco had x1 sweet cookies and <x4> salty cookies. He ate x3 sweet cookies and 2 salty cookies. how many more sweet cookies than salty cookies did he eatPaco had x1 sweet cookies and <<4>> salty cookies. He ate <3> sweet cookies and 2 salty cookies. how many more sweet cookies than salty cookies did he eatPaco had x1 sweet cookies and <<4>> salty cookies. He ate <3> sweet cookies and 2 salty cookies. how many more sweet cookies than salty cookies did he eatPaco had x1 sweet cookies and <<4>> salty cookies. He ate <3> sweet cookies and 2 salty cookies. how many more sweet cookies than salty cookies did he eatPaco had x1 sweet cookies and <<4>> salty cookies. He ate <3> sweet cookies and 2 salty cookies. how many more sweet cookies than salty cookies did he eatPaco had x1 sweet cookies and <<4>> salty cookies. He ate <3> sweet cookies and 2 salty cookies. how many more sweet cookies than salty cookies did he eatPaco had x1 sweet cookies and <<4>> salty cookies. He ate <3> sweet cookies and 2 salty cookies. how many more sweet cookies than salty cookies did he eatPaco had x1 sweet cookies and <<4>> salty cookies. He ate <3> sweet cookies and 2 salty cookies. how many more sweet cookies than salty cookies did he eatx2?
762,Jake has x1 fewer peaches than Steven. If Jake has x2 peaches. how many peaches does steven have?
763,Paul got a box of x1 crayons for his birthday. During the school year he lost x2 crayons while he gave away x3 crayons to his friends. how many more crayons did he give to his friends than those he lost?
764,If the cave is x1 feet deep and they need to travel x2 feet how far is the end of the cave?
765,There are x1 bananas and x2 oranges in Philip's collection. If the bananas are organized into x3 groups and oranges are organized into x4 groups how big is each group of bananas?
766,Rebecca wants to split a collection of eggs into groups of x1. Rebecca has x2 eggs and x3 marbles. how many more eggs does rebecca have than marbles?
767,Paige raised x1 goldfish in the pond but stray cats loved eating them. x2 were eaten. how many goldfish remained?
768,Zachary did x1 push-ups and x2 crunches in gym class today. David did x3 more push-ups but x4 less crunches than zachary. how many push-ups did david do?
769,Dave had x1 apps on his phone. He deleted x2 apps. how many apps are left on his phone?
770,Mary is baking a cake. The recipe calls for x1 cups of sugar x2 cups of flour and x3 cups of salt. She already put in x4 cups of flour. how many more cups of flour than cups of sugar does she need to add now?
771,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of ripe oranges and x2 sacks of unripe oranges per day. how many sacks of ripe oranges will they have after x3 days of harvest?
772,Jack received x1 emails and x2 letters in the morning. He then received x3 emails and x4 letters in the afternoon. how many more emails did jack receive in the morning than in the afternoon?
773,Katie had x1 new games and x2 old games. Her friends had <x5> new games and x4 old games. how many old games do they have Katie had x1 new games and x2 old games. Her friends had <<5>> new games and <4> old games. how many old games do they have Katie had x1 new games and x2 old games. Her friends had <<5>> new games and <4> old games. how many old games do they have Katie had x1 new games and x2 old games. Her friends had <<5>> new games and <4> old games. how many old games do they have Katie had x1 new games and x2 old games. Her friends had <<5>> new games and <4> old games. how many old games do they have Katie had x1 new games and x2 old games. Her friends had <<5>> new games and <4> old games. how many old games do they have Katie had x1 new games and x2 old games. Her friends had <<5>> new games and <4> old games. how many old games do they have Katie had x1 new games and x2 old games. Her friends had <<5>> new games and <4> old games. how many old games do they have x33
774,Together Adam and Jackie have x1 apples. He has x2 apples more than Adam and Jackie together do. Adam has x3 more apples than Jackie. how many apples does he have?
775,He then went to see the oranges being harvested. He found out that they harvest x1 sacks per day and that each sack containes x2 oranges. how many oranges are harvested if they harvest a total of x3 sacks of oranges?
776,There are x1 oranges and <x3> bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into x4 groups how big is each group of bananasThere are x1 oranges and <<3>> bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into <4> groups how big is each group of bananasThere are x1 oranges and <<3>> bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into <4> groups how big is each group of bananasThere are x1 oranges and <<3>> bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into <4> groups how big is each group of bananasThere are x1 oranges and <<3>> bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into <4> groups how big is each group of bananasThere are x1 oranges and <<3>> bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into <4> groups how big is each group of bananasThere are x1 oranges and <<3>> bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into <4> groups how big is each group of bananasThere are x1 oranges and <<3>> bananas in Philip's collection. If the bananas are organized into 2 groups and oranges are organized into <4> groups how big is each group of bananasx2?
777,There are x1 oranges and x2 bananas in Philip's collection. If the bananas are organized into x3 groups and oranges are organized into x4 groups how big is each group of oranges?
778,David did x1 more push-ups but x2 less crunches than Zachary in gym class today. If Zachary did x3 push-ups and x4 crunches how many more crunches than push-ups did zachary do?
779,He also had x1 aquariums for freshwater animals and x2 aquariums for saltwater animals. Each aquarium has x3 animals in it. how many saltwater animals does tyler have?
780,There were x1 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were x2 dollars left. If she spent x3 dollars at the showroom how much did she spend at the supermarket?
781,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped x2 inches farther than the grasshopper and the mouse jumped x3 inches lesser than the frog. how much farther did the mouse jump than the grasshopper?"
782,Rachel picked x1 ripe apples from her tree. Now the tree has x2 ripe apples and x3 unripe apples. how many apples did the tree have to begin with?
783,Frank was reading through his favorite book. The book had x1 pages and he read x2 pages per day. how many days did he take to finish the book?
784,Ed had x1 more marbles than Doug. Doug lost x2 of his marbles at the playground while Ed found x3 more marbles. how many more marbles did ed have than doug then?
785,Faye was placing her pencils into rows with x1 pencils in each row. If she had x2 pencils and x3 crayons how many rows could she make?
786,Some children were riding on the bus. At the bus stop x1 more children got on the bus. Then there were x2 children altogether on the bus. how many children were riding on the bus before the bus stop?
787,Danny has x1 bottle caps in his collection. He found x2 bottle caps at the park. how many bottle caps does he have now?
788,Allan brought x1 balloons and Jake brought x2 balloons to the park. how many more balloons did allan have than jake in the park?
789,Winter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. If x2 bird families flew away to africa and x3 bird families flew away to asia how many more bird families flew away to africa than those that flew away to asia?
790,Zachary did x1 push-ups and x2 crunches in gym class today. David did x3 more push-ups but x4 less crunches than zachary. how many more crunches than push-ups did zachary do?
791,The Ferris wheel in paradise park has x1 seats. If x2 people can ride the wheel at the same time how many people can each seat hold?
792,"Rachel had to complete x1 pages of math homework, x2 pages of reading homework and x3 more pages of biology homework. how many pages did she have to complete in all?"
793,For Gwen's birthday she received x1 dollars from her mom. Her dad gave her x2 more dollars. If she spent x3 dollars. how much more money did she receive from her dad than she did from her mom?
794,Baker made x1 cakes. He sold x2 of them. Then he made x3 more cakes. how many cakes would baker still have?
795,Baker made x1 pastries and x2 cakes. If he sold x3 cakes and x4 pastries how many cakes would baker still have?
796,There are x1 different books and x2 different movies in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more movies than books have you read?
797,A mailman gives x1 junk mails to each house in a block. If the mailman has to give x2 pieces of junk mail to each block. how many houses are there in a block?
798,Ed had x1 more marbles than Doug. Doug lost x2 of his marbles at the playground. If Ed had x3 marbles how many marbles does doug have now?
799,Dan has $ x1. He bought a candy bar for $ x2 and a chocolate for $ x3. how much money did he spend to buy candy bar than he did to buy chocolate?
800,A waiter had x1 customers. After some left he still had x2 customers. how many more customers stayed behind than those that left?
801,Julia played tag with x1 kids on tuesday. If she played tag with x2 more kids on monday than on tuesday how many kids did she play with on monday?
802,Allan brought x1 balloons to the park. If Jake brought x2 more balloons than the number of balloons that Allan brought how many balloons did jake bring to the park?
803,Jackie has x1 apples. Adam has x2 apples. how many more apples does jackie have than adam?
804,Baker made x1 cakes and x2 pastries. If he sold x3 cakes and x4 pastries how many more pastries than cakes did baker make?
805,For Gwen's birthday she received x1 dollars. She spent some money and has x2 dollars left with her. how much money did she spend?
806,"x1 red peaches, x2 yellow peaches and x3 green peaches are in the basket. how many red and yellow peaches are in the basket?"
807,Matthew gave equal numbers of crackers and cakes to his x1 friends. If he had x2 crackers and x3 cakes initially how many crackers did each person eat?
808,He then went to see the oranges being harvested. He found out that they harvested x1 sacks of oranges. how many sacks did they harvest per day if they harvested for a total of x2 days?
809,Adam has x1 more apples than Jackie. Together Adam and Jackie have x2 apples. Bob has x3 apples more than Adam and Jackie together do. how many apples does bob have?
810,Mary is baking a cake. The recipe calls for x1 cups of flour and x2 cups of sugar. She already put in some cups of flour. If she still needs x3 more cups of flour than sugar how many more cups of flour does she need to add?
811,Winter is almost here and most animals are migrating to warmer countries. x1 bird families flew away for the winter from near a mountain. If there were x2 bird families living near the mountain initially how many bird families were left near the mountain?
812,Jake has x1 fewer peaches than Steven. Steven has x2 more peaches than Jill. If Jill has x3 peaches how many more peaches does jill have than jake?
813,A book has x1 chapters. The first chapter is x2 pages long. If there are a total of x3 pages in the book how many pages are in the second chapter?
814,Paul got a box of some crayons for his birthday. During the school year he gave x1 crayons to his friends while he lost x2 crayons. If he only had x3 crayons left how many crayons did he get for his birthday?
815,At the stop x1 more people got on the bus. Initially there were x2 people on the bus. how many people are there on the bus now?
816,Julia played tag with some kids on monday. She played tag with x1 kids on tuesday. If she played with a total of x2 kids how many kids did she play with on monday?
817,Baker's friend bought x1 cakes from him. If he had made x2 cakes initially how many cakes would baker still have?
818,Jerry had x1 action figures and x2 books on a shelf in his room. Later he added x3 more action figures to the shelf. how many more action figures than books were on his shelf?
819,For x1 weeks of harvest Lewis earns a total of $ x2. how much money does he earn each week?
820,Paul had some books. After selling x1 in a garage sale he had x2 left. how many books did he have at the start?
821,Last week Fred had x1 dollars and Jason had x2 dollars. Over the weekend Fred delivered newspapers earning x3 dollars and washed cars earning x4 dollars. how much money did fred earn over the weekend?
822,If you have x1 cookies in total and x2 bags having equal number of cookies how many cookies does each bag have?
823,Matthew gave equal numbers of crackers to his x1 friends. If he had x2 crackers how many crackers did each person eat?
824,Kelly has x1 nintendo games. She found x2 more nintendo games. how many does she need to give away so that she will have x3 games left?
825,There are x1 different books and x2 different movies in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more movies do you still have to watch?
826,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of ripe oranges and x2 sacks of unripe oranges per day. how many more sacks of unripe oranges than ripe oranges are harvested per day?
827,Lewis earns $ x1 every week during the x2 weeks of harvest. If he has to pay $ x3 rent every week how much money does he pay as rent during the harvest season?
828,For the walls of the house he would use x1 nails in all to secure large planks of wood. If each plank needs x2 pieces of nails to be secured and an additional x3 nails were used. how many planks does john need for the house wall?
829,x1 red peaches and x2 green peaches are in the basket. how many more red peaches than green peaches are in the basket?
830,Because of the decision Sofia asked the students to suggest specific types of food. If x1 students suggested adding mashed potatoes x2 suggested adding bacon to the menu and x3 suggested adding tomatoes how many students participated in the suggestion of new food items?
831,During summer break x1 kids from Lawrence county go to camp and the other x2 kids stay home. how many more kids stayed home compared to those who went to the camp?
832,x1 birds and <x3> storks were sitting on the fence. 2 more storks came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many more birds than storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many more birds than storks are sitting on the fencex2?
833,There are x1 different books and x2 different movies in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more books do you still have to read?
834,There were x1 people on the bus. At the next stop x2 more people got on the bus. Each bus can not have more than x3 people. how many people are there on the bus now?
835,"A grocery store had x1 bottles of regular soda, x2 bottles of diet soda and x3 bottles of lite soda. how many bottles did they have total?"
836,Because of the decision Sofia asked x1 students to suggest specific types of food. x2 students suggested adding bacon while others suggested adding mashed potatoes to the menu. how many students suggested mashed potatoes?
837,Edward spent $ x1. Then he spent $ x2 more. Now he has $ x3. how much did edward have before he spent his money?
838,Winter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. If x2 bird families flew away to africa and x3 bird families flew away to asia how many bird families were left near the mountain?
839,In a school there are x1 girls and x2 boys. x3 more girls joined the school. how many girls are there in the school now?
840,Dan has $ x1. He bought a chocolate for $ <x3> and a candy bar for $ 2. how much money did he spend to buy chocolate than he did to buy candy barDan has $ x1. He bought a chocolate for $ <<3>> and a candy bar for $ 2. how much money did he spend to buy chocolate than he did to buy candy barDan has $ x1. He bought a chocolate for $ <<3>> and a candy bar for $ 2. how much money did he spend to buy chocolate than he did to buy candy barDan has $ x1. He bought a chocolate for $ <<3>> and a candy bar for $ 2. how much money did he spend to buy chocolate than he did to buy candy barDan has $ x1. He bought a chocolate for $ <<3>> and a candy bar for $ 2. how much money did he spend to buy chocolate than he did to buy candy barDan has $ x1. He bought a chocolate for $ <<3>> and a candy bar for $ 2. how much money did he spend to buy chocolate than he did to buy candy barDan has $ x1. He bought a chocolate for $ <<3>> and a candy bar for $ 2. how much money did he spend to buy chocolate than he did to buy candy barDan has $ x1. He bought a chocolate for $ <<3>> and a candy bar for $ 2. how much money did he spend to buy chocolate than he did to buy candy barx2?
841,At the arcade Dave had won x1 tickets. If he used x2 to buy some toys and x3 more to buy some clothes how many tickets did dave have left?
842,The school is planning a field trip. The school has x1 classrooms. There are x2 students in the school with each classroom having the same number of students. There are x3 seats on each school bus. how many students are in each class?
843,He then went to see the oranges being harvested. He found out that the harvest will go on for x1 days. how many sacks do they harvest per day if they harvested a total of x2 sacks of oranges?
844,There were x1 roses in the vase. Jessica threw away x2 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now x3 roses in the vase. how many more roses did she throw away than those she cut from her garden?
845,Allan brought x1 balloons and Jake brought x2 balloons to the park. Allan then bought x3 more balloons at the park. how many more balloons did jake have than allan in the park?
846,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of ripe oranges and x2 sacks of unripe oranges per day. how many sacks of oranges will they have after x3 days of harvest?
847,Together Adam and Jackie have x1 apples. He has x2 apples more than adam and jackie together do. how many apples does he have?
848,"After a typhoon, x1 trees in Haley's backyard died. If she had grown x2 trees initially how many more trees survived the typhoon than those that died?"
849,Allan brought x1 balloons and Jake brought x2 balloons to the park. Jake then bought x3 more balloons at the park. how many balloons did jake bring to the park?
850,The Razorback shop makes $ x1 dollars off each t-shirt and $ x2 off each jersey. During the Arkansas and Texas tech game they sold x3 t-shirts and x4 jerseys. how much money did they make from selling the t-shirts?
851,David did x1 more push-ups than Zachary in gym class today. If David did x2 push-ups how many push-ups did zachary do?
852,Marco and his dad went strawberry picking. Marco's strawberries weighed x1 pounds. If together their strawberries weighed x2 pounds. how much more did his strawberries weigh than his dad's?
853,Faye was placing her pencils and crayons into x1 rows with x2 crayons and x3 pencils in each row. how many crayons does she have?
854,"Jack received x1 emails in the morning, x2 emails in the afternoon and x3 emails in the evening. how many emails did jack receive in the morning and evening?"
855,Jesse's room is x1 feet long. If she needs a carpet of size x2 square feet what is the width of her room?
856,Debby bought x1 water bottles when they were on sale. If she drank x2 bottles a day for x3 days. how many bottles does she have left?
857,x1 campers went rowing in the morning x2 campers went rowing in the afternoon and x3 campers went rowing in the evening. how many more campers went rowing in the afternoon than in the evening?
858,Bryan took a look at his books and magazines. If he has x1 books and x2 magazines in each of his x3 bookshelves how many books and magazines does he have in total?
859,Faye was placing her pencils and crayons into x1 rows with x2 pencils and x3 crayons in each row. how many crayons does she have?
860,Baker made x1 cakes and x2 pastries. If he sold x3 cakes and x4 pastries how many pastries would baker still have?
861,Robin cut off x1 inches of his hair. If his hair was x2 inches long initially how long is his hair now?
862,"They decided to hold the party in their backyard. They have x1 sets of tables, each having the same number of chairs. If there are a total of x2 chairs in the backyard how many chairs are there for each table?"
863,Debby bought x1 water bottles and x2 soda bottles when they were on sale. If she drank x3 water bottles and x4 soda bottles a day how many days would the water bottles last?
864,Last week Fred had x1 dollars and Jason had x2 dollars. Jason washed cars over the weekend and now has x3 dollars. how much money did jason make washing cars?
865,Paul sold some books in a garage sale leaving him with x1 books. If he had x2 books initially how many books did he sell?
866,Next on his checklist is wax to stick the feathers together. If the feathers require x1 g of wax and right now he has x2 g how many more grams of wax does he need?
867,The bananas in Philip's collection are organized into x1 groups. If there are a total of x2 bananas in Philip's banana collection how big is each group?
868,The grasshopper and the frog had a jumping contest. The grasshopper jumped x1 inches and the frog jumped x2 inches. how much farther did the frog jump than the grasshopper?
869,In Haley's class x1 boys love to play marbles and x2 boys love to play cards. If Haley has x3 marbles how many will each of the boys receive?
870,Steven has x1 peaches. Jake has x2 fewer peaches than Steven who has x3 more peaches than Jill. how many peaches does jill have?
871,In Haley's class x1 are boys who love to play marbles. If Haley gives x2 marbles to each boy how many marbles did she have?
872,Ed had x1 more marbles than Doug. Ed lost x2 of his marbles at the playground. If Ed had x3 marbles how many more marbles did ed have than doug then?
873,A farmer had x1 green tomatoes and x2 red tomatoes in his garden. If he picked x3 tomatoes how many tomatoes are left?
874,Lewis earns $ x1 every week during the x2 weeks of harvest. If he has to pay $ x3 tax how much money will have at the end of the harvest season?
875,Nell collects baseball cards. She had x1 cards while Jeff had x2 cards. She gave some of her cards to Jeff and now has x3 cards left. how many cards does jeff have now?
876,Rebecca wants to split a collection of marbles into groups of x1. Rebecca has x2 eggs and x3 marbles. how many groups will be created?
877,Matthew had x1 crackers. He has x2 crackers left after he gave equal numbers of crackers to his x3 friends. how many crackers did matthew give to his friends?
878,An industrial machine can make x1 shirts a minute. It worked for x2 minutes yesterday and for x3 minutes today. how many shirts did machine make today?
879,Marco and his dad went strawberry picking. Marco's strawberries weighed x1 pounds. If together their strawberries weighed x2 pounds. how much more did his dad's strawberries weigh than his?
880,Rachel picked x1 apples from her tree. If the tree had x2 apples initially. how many apples are still there on the tree?
881,"After making some pies, chef had x1 apples left. Initially he had x2 apples how many apples did he use?"
882,Allan brought x1 balloons and x2 balls while Jake brought x3 balloons and x4 balls to the park. how many balloons did allan and jake have in the park?
883,There were x1 dollars in Olivia's wallet. She collected x2 more dollars from an atm. After she visited a supermarket there were x3 dollars left. how much more money did she spend at the supermarket than she collected at the atm?
884,Faye was placing some pencils equally into x1 rows. If she had x2 pencils how many pencils did she place in each row?
885,Julia played tag with x1 kids on monday. She played tag with some more kids on tuesday. If she played with a total of x2 kids how many kids did she play with on tuesday?
886,Danny collects bottle caps. He threw away x1 of the old ones at the park while he found x2 bottle caps new ones. Now he has x3 bottle caps in his collection. how many more bottle caps did danny find at the park than those he threw away?
887,Paco had x1 cookies. He gave x2 cookies to his friend and ate x3 cookies. how many cookies did paco have left?
888,They decided to hold the party in their backyard. If they have x1 sets of tables and each set has x2 chairs how many more chairs than tables do they have?
889,After resting they decided to go for a swim. The depth of the water is x1 times Ron's height. Dean is x2 feet taller than Ron. If Ron stands at x3 feet how deep was the water?
890,A farmer had x1 tomatoes and x2 potatoes in his garden. If he picked x3 tomatoes how many tomatoes and potatoes does he have left?
891,"x1 red peaches, x2 yellow peaches and x3 green peaches are in the basket. how many more green peaches than red peaches are in the basket?"
892,x1 campers went rowing in the morning. x2 campers went rowing in the afternoon. how many more campers went rowing in the afternoon than in the morning?
893,There were x1 roses and x2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now x3 orchids and x4 roses in the vase. how many roses did she cut?
894,Debby bought some water bottles when they were on sale. She drank x1 bottles a day. If the bottles lasted for x2 days how many bottles had she bought?
895,Edward spent $ x1 to buy x2 books each book costing him the same amount of money. Now he has $ x3. how much did each book cost?
896,Robin has x1 packages of gum and x2 packages of candy. There are x3 pieces in each package. how many pieces does robin have?
897,There are x1 different movies and x2 different books in the ' crazy silly school ' series. If you read x3 of the books and watched x4 of the movies how many more movies than books are there in the ' crazy silly school ' series?
898,"Jack received x1 emails in the morning, x2 emails in the afternoon and x3 emails in the evening. how many emails did jack receive in the morning and afternoon?"
899,Randy uses x1 blocks to build a tower. If he had x2 blocks how many blocks are left?
900,Marco and his dad went strawberry picking. Together their strawberries weighed x1 pounds. His dad's strawberries weighed x2 pounds. how much did marco's strawberries weigh?
901,Haley grew x1 trees in her backyard. After a typhoon x2 died. Then she grew x3 more trees. how many trees does she have left?
902,Stray cats loved eating goldfish in the pond leaving x1 goldfish. Paige had raised x2 goldfish in the pond initially. how many goldfish disappeared?
903,Danny collects bottle caps and wrappers. He found x1 bottle caps and x2 wrappers at the park. Now he has x3 wrappers and x4 bottle caps in his collection. how many more bottle caps than wrappers does danny have now?
904,Mary is baking a cake. The recipe calls for x1 cups of flour and x2 cups of sugar. She already put in x3 cups of sugar. how many more cups of flour than cups of sugar does she need to add now?
905,Jesse's room is x1 feet long and x2 feet wide. If each tile is of size x3 square feet how many tiles does she need to cover the whole floor?
906,An industrial machine can make x1 shirts a minute. It worked for x2 minutes yesterday and for x3 shirts today. how many shirts did machine make altogether?
907,Paco had x1 sweet cookies and x2 salty cookies. He ate <x4> sweet cookies and 3 salty cookies. how many salty cookies did paco have leftPaco had x1 sweet cookies and x2 salty cookies. He ate <<4>> sweet cookies and 3 salty cookies. how many salty cookies did paco have leftPaco had x1 sweet cookies and x2 salty cookies. He ate <<4>> sweet cookies and 3 salty cookies. how many salty cookies did paco have leftPaco had x1 sweet cookies and x2 salty cookies. He ate <<4>> sweet cookies and 3 salty cookies. how many salty cookies did paco have leftPaco had x1 sweet cookies and x2 salty cookies. He ate <<4>> sweet cookies and 3 salty cookies. how many salty cookies did paco have leftPaco had x1 sweet cookies and x2 salty cookies. He ate <<4>> sweet cookies and 3 salty cookies. how many salty cookies did paco have leftPaco had x1 sweet cookies and x2 salty cookies. He ate <<4>> sweet cookies and 3 salty cookies. how many salty cookies did paco have leftPaco had x1 sweet cookies and x2 salty cookies. He ate <<4>> sweet cookies and 3 salty cookies. how many salty cookies did paco have leftx3?
908,Robin cut off x1 inches of his hair. If his hair is now x2 inches long how long was his hair before he cut?
909,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The frog jumped x2 inches farther than the grasshopper and the mouse jumped x3 inches farther than the frog. how far did the frog jump?"
910,Robin has x1 packages of gum and x2 packages of candy. There are x3 pieces in each package. how many pieces of gum does robin have?
911,Baker made x1 cakes and x2 pastries. If he sold x3 cakes and x4 pastries how many more cakes than pastries did baker sell?
912,In a school there are x1 girls and the rest are boys. If there are x2 more girls than boys how many pupils are there in that school?
913,David did x1 push-ups in gym class today. David did x2 more push-ups than Zachary. how many push-ups did zachary and david do altogether?
914,Winter is almost here and most animals are migrating to warmer countries. There were x1 bird families living near the mountain. If x2 bird families flew away for winter how many more bird families stayed behind than those that flew away for the winter?
915,A school has x1 pupils. There are x2 girls and the rest are boys. how many boys are there in that school?
916,Baker made x1 pastries and x2 cakes. If he sold x3 cakes and x4 pastries how many more pastries than cakes did baker make?
917,Nell collects baseball cards. She had x1 cards while Jeff had x2 cards. She gave some of her cards to jeff and now has x3 cards left. how many cards did nell give to jeff?
918,The school is planning a field trip. The school has x1 classrooms. There are x2 students in the school and x3 seats on each school bus. If x4 students do n't want to go for the trip how many buses are needed to take the trip?
919,x1 people can ride the Ferris wheel in paradise park at the same time. If each seat on the Ferris wheel can hold x2 people how many seats does the ferris wheel have?
920,Dave had x1 apps and x2 files on his phone. After deleting some apps and files he had x3 files and x4 apps left. how many more apps than files does he have left on the phone?
921,x1 campers went rowing in the morning x2 campers went rowing in the afternoon and x3 campers went rowing in the evening. how many more campers went rowing in the morning than in the afternoon?
922,"Frank was reading through his favorite book. The book had x1 chapters, each with the same number of pages. It has a total of x2 pages. It took Frank x3 days to finish the book. how many pages are in each chapter?"
923,Jesse has x1 square feet of carpet. If her room is x2 feet long and x3 feet wide how much more carpet does she need to cover the whole floor?
924,There are many different books in the ' crazy silly school ' series. If you have read x1 of the books and are yet to read x2 books how many books are there in the ' crazy silly school ' series?
925,Nell collects cards. She had x1 baseball cards and x2 Ace cards. She gave some of her cards to Jeff and now has x3 Ace cards and x4 baseball cards left. how many more baseball cards than ace cards does nell have?
926,Matthew had x1 crackers. If Matthew gave equal numbers of crackers to his x2 friends and still had x3 crackers left how many crackers did matthew give to his friends?
927,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The grasshopper jumped x2 inches farther than the frog and the mouse jumped x3 inches lesser than the frog. how much farther did the grasshopper jump than the mouse?"
928,They decided to hold the party in their backyard. They have x1 sets of tables and each set has x2 chairs. If there are x3 people sitting on chairs how many chairs are left unoccupied?
929,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that x1 visitors came to the Buckingham palace that day. If there were x2 visitors the previous day and x3 visitors the day before that how many visited the buckingham palace within the past x4 days?"
930,He then went to see the oranges being harvested. He found out that they harvest x1 sacks of ripe oranges and x2 sacks of unripe oranges per day. how many more sacks of ripe oranges than unripe oranges are harvested per day?
